agarN,agarA,agarB,agarAB,growth,growthA,growthB,growthAB,p256,p
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,U
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,S
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,A
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,A
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,B
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,B
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,A/B
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,A/B
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,AB
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,AB
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,AB
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,AB
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,12,AB
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,13,AB
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,14,AB
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,15,AB
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,16,S
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,S
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18,A
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19,A
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,20,B
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,21,B
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,22,A/B
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,23,A/B
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,24,AB
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,25,AB
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26,AB
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,27,AB
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,28,AB
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,29,AB
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,AB
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,31,AB
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,32,E
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,33,E
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,34,E
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,35,E
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,36,E
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,37,E
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,38,E
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,39,E
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,40,E
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,41,E
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,42,E
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,43,E
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,E
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,45,E
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,46,E
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,47,E
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,48,A
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,49,A
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,A
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,51,A
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,52,A/B
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,53,A/B
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,54,A/B
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,55,A/B
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,56,AB
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,57,AB
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,58,AB
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,59,AB
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,60,AB
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,61,AB
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,62,AB
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,63,AB
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,64,E
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,65,E
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,66,E
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,67,E
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,68,E
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,69,E
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,70,E
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,71,E
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,72,E
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,73,E
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,74,E
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,75,E
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,76,E
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,77,E
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,78,E
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,79,E
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,80,B
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,81,B
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,82,A/B
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,83,A/B
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,84,B
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,85,B
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,86,A/B
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,87,A/B
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,88,AB
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,89,AB
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,90,AB
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,91,AB
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,92,AB
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,93,AB
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,94,AB
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,95,AB
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,96,E
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,97,E
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,98,E
