plate,transfer,rep,p,n,f
1,0,1,U,12,0.1276595744680851
1,0,1,S,82,0.8723404255319149
1,0,1,A,0,0
1,0,1,B,0,0
1,0,1,A/B,0,0
1,0,1,AB,0,0
1,0,1,E,0,0
1,0,2,U,12,0.1276595744680851
1,0,2,S,82,0.8723404255319149
1,0,2,A,0,0
1,0,2,B,0,0
1,0,2,A/B,0,0
1,0,2,AB,0,0
1,0,2,E,0,0
1,0,3,U,12,0.1276595744680851
1,0,3,S,82,0.8723404255319149
1,0,3,A,0,0
1,0,3,B,0,0
1,0,3,A/B,0,0
1,0,3,AB,0,0
1,0,3,E,0,0
1,0,4,U,12,0.1276595744680851
1,0,4,S,82,0.8723404255319149
1,0,4,A,0,0
1,0,4,B,0,0
1,0,4,A/B,0,0
1,0,4,AB,0,0
1,0,4,E,0,0
1,1,1,U,10,0.10638297872340426
1,1,1,S,84,0.8936170212765957
1,1,1,A,0,0
1,1,1,B,0,0
1,1,1,A/B,0,0
1,1,1,AB,0,0
1,1,1,E,0,0
1,1,2,U,10,0.10638297872340426
1,1,2,S,84,0.8936170212765957
1,1,2,A,0,0
1,1,2,B,0,0
1,1,2,A/B,0,0
1,1,2,AB,0,0
1,1,2,E,0,0
1,1,3,U,10,0.10638297872340426
1,1,3,S,84,0.8936170212765957
1,1,3,A,0,0
1,1,3,B,0,0
1,1,3,A/B,0,0
1,1,3,AB,0,0
1,1,3,E,0,0
1,1,4,U,11,0.11702127659574468
1,1,4,S,83,0.8829787234042553
1,1,4,A,0,0
1,1,4,B,0,0
1,1,4,A/B,0,0
1,1,4,AB,0,0
1,1,4,E,0,0
1,2,1,U,8,0.0851063829787234
1,2,1,S,86,0.9148936170212766
1,2,1,A,0,0
1,2,1,B,0,0
1,2,1,A/B,0,0
1,2,1,AB,0,0
1,2,1,E,0,0
1,2,2,U,9,0.09574468085106383
1,2,2,S,85,0.9042553191489362
1,2,2,A,0,0
1,2,2,B,0,0
1,2,2,A/B,0,0
1,2,2,AB,0,0
1,2,2,E,0,0
1,2,3,U,9,0.09574468085106383
1,2,3,S,85,0.9042553191489362
1,2,3,A,0,0
1,2,3,B,0,0
1,2,3,A/B,0,0
1,2,3,AB,0,0
1,2,3,E,0,0
1,2,4,U,13,0.13829787234042554
1,2,4,S,81,0.8617021276595744
1,2,4,A,0,0
1,2,4,B,0,0
1,2,4,A/B,0,0
1,2,4,AB,0,0
1,2,4,E,0,0
1,3,1,U,12,0.1276595744680851
1,3,1,S,82,0.8723404255319149
1,3,1,A,0,0
1,3,1,B,0,0
1,3,1,A/B,0,0
1,3,1,AB,0,0
1,3,1,E,0,0
1,3,2,U,12,0.1276595744680851
1,3,2,S,82,0.8723404255319149
1,3,2,A,0,0
1,3,2,B,0,0
1,3,2,A/B,0,0
1,3,2,AB,0,0
1,3,2,E,0,0
1,3,3,U,11,0.11702127659574468
1,3,3,S,83,0.8829787234042553
1,3,3,A,0,0
1,3,3,B,0,0
1,3,3,A/B,0,0
1,3,3,AB,0,0
1,3,3,E,0,0
1,3,4,U,13,0.13829787234042554
1,3,4,S,81,0.8617021276595744
1,3,4,A,0,0
1,3,4,B,0,0
1,3,4,A/B,0,0
1,3,4,AB,0,0
1,3,4,E,0,0
1,4,1,U,9,0.09574468085106383
1,4,1,S,85,0.9042553191489362
1,4,1,A,0,0
1,4,1,B,0,0
1,4,1,A/B,0,0
1,4,1,AB,0,0
1,4,1,E,0,0
1,4,2,U,8,0.0851063829787234
1,4,2,S,86,0.9148936170212766
1,4,2,A,0,0
1,4,2,B,0,0
1,4,2,A/B,0,0
1,4,2,AB,0,0
1,4,2,E,0,0
1,4,3,U,9,0.09574468085106383
1,4,3,S,85,0.9042553191489362
1,4,3,A,0,0
1,4,3,B,0,0
1,4,3,A/B,0,0
1,4,3,AB,0,0
1,4,3,E,0,0
1,4,4,U,11,0.11702127659574468
1,4,4,S,83,0.8829787234042553
1,4,4,A,0,0
1,4,4,B,0,0
1,4,4,A/B,0,0
1,4,4,AB,0,0
1,4,4,E,0,0
1,5,1,U,5,0.05319148936170213
1,5,1,S,89,0.9468085106382979
1,5,1,A,0,0
1,5,1,B,0,0
1,5,1,A/B,0,0
1,5,1,AB,0,0
1,5,1,E,0,0
1,5,2,U,5,0.05319148936170213
1,5,2,S,89,0.9468085106382979
1,5,2,A,0,0
1,5,2,B,0,0
