plate,transfer,p,mean,n,se,max,min
1,0,U,0.1276595744680851,4,0,0.1276595744680851,0.1276595744680851
1,0,S,0.8723404255319149,4,0,0.8723404255319149,0.8723404255319149
1,0,A,0,4,0,0,0
1,0,B,0,4,0,0,0
1,0,A/B,0,4,0,0,0
1,0,AB,0,4,0,0,0
1,0,E,0,4,0,0,0
1,1,U,0.10904255319148937,4,0.0026595744680851068,0.11702127659574468,0.10638297872340426
1,1,S,0.8909574468085106,4,0.0026595744680850963,0.8936170212765957,0.8829787234042553
1,1,A,0,4,0,0,0
1,1,B,0,4,0,0,0
1,1,A/B,0,4,0,0,0
1,1,AB,0,4,0,0,0
1,1,E,0,4,0,0,0
1,2,U,0.10372340425531915,4,0.01179444565217205,0.13829787234042554,0.0851063829787234
1,2,S,0.8962765957446809,4,0.011794445652172058,0.9148936170212766,0.8617021276595744
1,2,A,0,4,0,0,0
1,2,B,0,4,0,0,0
1,2,A/B,0,4,0,0,0
1,2,AB,0,4,0,0,0
1,2,E,0,4,0,0,0
1,3,U,0.1276595744680851,4,0.004343066919828331,0.13829787234042554,0.11702127659574468
1,3,S,0.8723404255319149,4,0.004343066919828336,0.8829787234042553,0.8617021276595744
1,3,A,0,4,0,0,0
1,3,B,0,4,0,0,0
1,3,A/B,0,4,0,0,0
1,3,AB,0,4,0,0,0
1,3,E,0,4,0,0,0
1,4,U,0.09840425531914894,4,0.006693115634105276,0.11702127659574468,0.0851063829787234
1,4,S,0.9015957446808511,4,0.006693115634105275,0.9148936170212766,0.8829787234042553
1,4,A,0,4,0,0,0
1,4,B,0,4,0,0,0
1,4,A/B,0,4,0,0,0
1,4,AB,0,4,0,0,0
1,4,E,0,4,0,0,0
1,5,U,0.061170212765957445,4,0.005092697381682648,0.07446808510638298,0.05319148936170213
1,5,S,0.9388297872340425,4,0.005092697381682654,0.9468085106382979,0.925531914893617
1,5,A,0,4,0,0,0
1,5,B,0,4,0,0,0
1,5,A/B,0,4,0,0,0
1,5,AB,0,4,0,0,0
1,5,E,0,4,0,0,0
1,6,U,0.061170212765957445,4,0.002659574468085105,0.06382978723404255,0.05319148936170213
1,6,S,0.9388297872340425,4,0.0026595744680850963,0.9468085106382979,0.9361702127659575
1,6,A,0,4,0,0,0
1,6,B,0,4,0,0,0
1,6,A/B,0,4,0,0,0
1,6,AB,0,4,0,0,0
1,6,E,0,4,0,0,0
1,7,U,0.06382978723404255,4,0.004343066919828329,0.07446808510638298,0.05319148936170213
1,7,S,0.9361702127659575,4,0.004343066919828336,0.9468085106382979,0.925531914893617
1,7,A,0,4,0,0,0
1,7,B,0,4,0,0,0
1,7,A/B,0,4,0,0,0
