plate,transfer,rep,p,n,f
1,0,1,U,20,0.2127659574468085
1,0,1,S,49,0.5212765957446809
1,0,1,A,10,0.10638297872340426
1,0,1,B,10,0.10638297872340426
1,0,1,A/B,0,0
1,0,1,AB,5,0.05319148936170213
1,0,1,E,0,0
1,0,2,U,20,0.2127659574468085
1,0,2,S,49,0.5212765957446809
1,0,2,A,10,0.10638297872340426
1,0,2,B,10,0.10638297872340426
1,0,2,A/B,0,0
1,0,2,AB,5,0.05319148936170213
1,0,2,E,0,0
1,0,3,U,20,0.2127659574468085
1,0,3,S,49,0.5212765957446809
1,0,3,A,0,0
1,0,3,B,5,0.05319148936170213
1,0,3,A/B,5,0.05319148936170213
1,0,3,AB,15,0.1595744680851064
1,0,3,E,0,0
1,0,4,U,20,0.2127659574468085
1,0,4,S,49,0.5212765957446809
1,0,4,A,10,0.10638297872340426
1,0,4,B,10,0.10638297872340426
1,0,4,A/B,0,0
1,0,4,AB,5,0.05319148936170213
1,0,4,E,0,0
1,1,1,U,12,0.1276595744680851
1,1,1,S,48,0.5106382978723404
1,1,1,A,16,0.1702127659574468
1,1,1,B,9,0.09574468085106383
1,1,1,A/B,2,0.02127659574468085
1,1,1,AB,7,0.07446808510638298
1,1,1,E,0,0
1,1,2,U,12,0.1276595744680851
1,1,2,S,36,0.3829787234042553
1,1,2,A,27,0.2872340425531915
1,1,2,B,11,0.11702127659574468
1,1,2,A/B,1,0.010638297872340425
1,1,2,AB,7,0.07446808510638298
1,1,2,E,0,0
1,1,3,U,12,0.1276595744680851
1,1,3,S,48,0.5106382978723404
1,1,3,A,1,0.010638297872340425
1,1,3,B,5,0.05319148936170213
1,1,3,A/B,7,0.07446808510638298
1,1,3,AB,21,0.22340425531914893
1,1,3,E,0,0
1,1,4,U,12,0.1276595744680851
1,1,4,S,48,0.5106382978723404
1,1,4,A,16,0.1702127659574468
1,1,4,B,11,0.11702127659574468
1,1,4,A/B,0,0
1,1,4,AB,7,0.07446808510638298
1,1,4,E,0,0
1,2,1,U,12,0.1276595744680851
1,2,1,S,48,0.5106382978723404
1,2,1,A,19,0.20212765957446807
1,2,1,B,7,0.07446808510638298
1,2,1,A/B,2,0.02127659574468085
1,2,1,AB,6,0.06382978723404255
1,2,1,E,0,0
1,2,2,U,12,0.1276595744680851
1,2,2,S,46,0.48936170212765956
1,2,2,A,20,0.2127659574468085
1,2,2,B,8,0.0851063829787234
1,2,2,A/B,2,0.02127659574468085
1,2,2,AB,6,0.06382978723404255
1,2,2,E,0,0
1,2,3,U,12,0.1276595744680851
1,2,3,S,49,0.5212765957446809
1,2,3,A,4,0.0425531914893617
1,2,3,B,6,0.06382978723404255
1,2,3,A/B,3,0.031914893617021274
1,2,3,AB,20,0.2127659574468085
1,2,3,E,0,0
1,2,4,U,12,0.1276595744680851
1,2,4,S,49,0.5212765957446809
1,2,4,A,16,0.1702127659574468
1,2,4,B,8,0.0851063829787234
1,2,4,A/B,2,0.02127659574468085
1,2,4,AB,7,0.07446808510638298
1,2,4,E,0,0
1,3,1,U,10,0.10638297872340426
1,3,1,S,41,0.43617021276595747
1,3,1,A,19,0.20212765957446807
1,3,1,B,8,0.0851063829787234
1,3,1,A/B,7,0.07446808510638298
1,3,1,AB,9,0.09574468085106383
1,3,1,E,0,0
1,3,2,U,10,0.10638297872340426
1,3,2,S,39,0.4148936170212766
1,3,2,A,22,0.23404255319148937
1,3,2,B,10,0.10638297872340426
1,3,2,A/B,5,0.05319148936170213
1,3,2,AB,8,0.0851063829787234
1,3,2,E,0,0
1,3,3,U,10,0.10638297872340426
1,3,3,S,41,0.43617021276595747
1,3,3,A,11,0.11702127659574468
1,3,3,B,9,0.09574468085106383
1,3,3,A/B,3,0.031914893617021274
1,3,3,AB,20,0.2127659574468085
1,3,3,E,0,0
1,3,4,U,10,0.10638297872340426
1,3,4,S,43,0.4574468085106383
1,3,4,A,21,0.22340425531914893
1,3,4,B,6,0.06382978723404255
1,3,4,A/B,6,0.06382978723404255
1,3,4,AB,8,0.0851063829787234
1,3,4,E,0,0
1,4,1,U,12,0.1276595744680851
1,4,1,S,38,0.40425531914893614
1,4,1,A,15,0.1595744680851064
1,4,1,B,9,0.09574468085106383
1,4,1,A/B,7,0.07446808510638298
1,4,1,AB,13,0.13829787234042554
1,4,1,E,0,0
1,4,2,U,12,0.1276595744680851
1,4,2,S,36,0.3829787234042553
1,4,2,A,19,0.20212765957446807
1,4,2,B,12,0.1276595744680851
1,4,2,A/B,5,0.05319148936170213
1,4,2,AB,10,0.10638297872340426
1,4,2,E,0,0
1,4,3,U,12,0.1276595744680851
1,4,3,S,37,0.39361702127659576
1,4,3,A,11,0.11702127659574468
1,4,3,B,10,0.10638297872340426
1,4,3,A/B,7,0.07446808510638298
1,4,3,AB,17,0.18085106382978725
1,4,3,E,0,0
1,4,4,U,12,0.1276595744680851
1,4,4,S,40,0.425531914893617
1,4,4,A,16,0.1702127659574468
1,4,4,B,9,0.09574468085106383
1,4,4,A/B,6,0.06382978723404255
1,4,4,AB,11,0.11702127659574468
1,4,4,E,0,0
1,5,1,U,6,0.06382978723404255
1,5,1,S,35,0.3723404255319149
1,5,1,A,18,0.19148936170212766
1,5,1,B,11,0.11702127659574468
1,5,1,A/B,9,0.09574468085106383
1,5,1,AB,15,0.1595744680851064
1,5,1,E,0,0
1,5,2,U,6,0.06382978723404255
1,5,2,S,34,0.3617021276595745
1,5,2,A,21,0.22340425531914893
1,5,2,B,13,0.13829787234042554
1,5,2,A/B,7,0.07446808510638298
1,5,2,AB,13,0.13829787234042554
1,5,2,E,0,0
1,5,3,U,6,0.06382978723404255
1,5,3,S,37,0.39361702127659576
1,5,3,A,13,0.13829787234042554
1,5,3,B,11,0.11702127659574468
1,5,3,A/B,7,0.07446808510638298
1,5,3,AB,20,0.2127659574468085
1,5,3,E,0,0
1,5,4,U,6,0.06382978723404255
1,5,4,S,32,0.3404255319148936
1,5,4,A,23,0.24468085106382978
1,5,4,B,12,0.1276595744680851
1,5,4,A/B,8,0.0851063829787234
1,5,4,AB,13,0.13829787234042554
1,5,4,E,0,0
1,6,1,U,8,0.0851063829787234
1,6,1,S,35,0.3723404255319149
1,6,1,A,17,0.18085106382978725
1,6,1,B,11,0.11702127659574468
1,6,1,A/B,13,0.13829787234042554
1,6,1,AB,10,0.10638297872340426
1,6,1,E,0,0
1,6,2,U,8,0.0851063829787234
1,6,2,S,31,0.32978723404255317
1,6,2,A,21,0.22340425531914893
1,6,2,B,10,0.10638297872340426
1,6,2,A/B,16,0.1702127659574468
1,6,2,AB,8,0.0851063829787234
1,6,2,E,0,0
1,6,3,U,8,0.0851063829787234
1,6,3,S,34,0.3617021276595745
1,6,3,A,12,0.1276595744680851
1,6,3,B,9,0.09574468085106383
1,6,3,A/B,10,0.10638297872340426
1,6,3,AB,21,0.22340425531914893
1,6,3,E,0,0
1,6,4,U,8,0.0851063829787234
1,6,4,S,34,0.3617021276595745
1,6,4,A,19,0.20212765957446807
1,6,4,B,11,0.11702127659574468
1,6,4,A/B,13,0.13829787234042554
1,6,4,AB,9,0.09574468085106383
1,6,4,E,0,0
1,7,1,U,5,0.05319148936170213
1,7,1,S,25,0.26595744680851063
1,7,1,A,20,0.2127659574468085
1,7,1,B,15,0.1595744680851064
1,7,1,A/B,15,0.1595744680851064
1,7,1,AB,14,0.14893617021276595
1,7,1,E,0,0
1,7,2,U,5,0.05319148936170213
1,7,2,S,24,0.2553191489361702
1,7,2,A,20,0.2127659574468085
1,7,2,B,15,0.1595744680851064
1,7,2,A/B,17,0.18085106382978725
1,7,2,AB,13,0.13829787234042554
1,7,2,E,0,0
1,7,3,U,5,0.05319148936170213
1,7,3,S,28,0.2978723404255319
1,7,3,A,10,0.10638297872340426
1,7,3,B,11,0.11702127659574468
1,7,3,A/B,16,0.1702127659574468
1,7,3,AB,24,0.2553191489361702
1,7,3,E,0,0
1,7,4,U,5,0.05319148936170213
1,7,4,S,21,0.22340425531914893
1,7,4,A,23,0.24468085106382978
1,7,4,B,17,0.18085106382978725
1,7,4,A/B,15,0.1595744680851064
