plate,transfer,rep,p,n,f
1,0,1,U,20,0.2127659574468085
1,0,1,S,52,0.5531914893617021
1,0,1,A,12,0.1276595744680851
1,0,1,B,8,0.0851063829787234
1,0,1,A/B,1,0.010638297872340425
1,0,1,AB,1,0.010638297872340425
1,0,1,E,0,0
1,0,2,U,20,0.2127659574468085
1,0,2,S,33,0.35106382978723405
1,0,2,A,31,0.32978723404255317
1,0,2,B,8,0.0851063829787234
1,0,2,A/B,1,0.010638297872340425
1,0,2,AB,1,0.010638297872340425
1,0,2,E,0,0
1,0,3,U,20,0.2127659574468085
1,0,3,S,35,0.3723404255319149
1,0,3,A,19,0.20212765957446807
1,0,3,B,5,0.05319148936170213
1,0,3,A/B,4,0.0425531914893617
1,0,3,AB,11,0.11702127659574468
1,0,3,E,0,0
1,0,4,U,20,0.2127659574468085
1,0,4,S,51,0.5425531914893617
1,0,4,A,13,0.13829787234042554
1,0,4,B,9,0.09574468085106383
1,0,4,A/B,1,0.010638297872340425
1,0,4,AB,0,0
1,0,4,E,0,0
1,1,1,U,10,0.10638297872340426
1,1,1,S,59,0.6276595744680851
1,1,1,A,12,0.1276595744680851
1,1,1,B,13,0.13829787234042554
1,1,1,A/B,0,0
1,1,1,AB,0,0
1,1,1,E,0,0
1,1,2,U,10,0.10638297872340426
1,1,2,S,58,0.6170212765957447
1,1,2,A,11,0.11702127659574468
1,1,2,B,14,0.14893617021276595
1,1,2,A/B,1,0.010638297872340425
1,1,2,AB,0,0
1,1,2,E,0,0
1,1,3,U,10,0.10638297872340426
1,1,3,S,58,0.6170212765957447
1,1,3,A,11,0.11702127659574468
1,1,3,B,4,0.0425531914893617
1,1,3,A/B,2,0.02127659574468085
1,1,3,AB,9,0.09574468085106383
1,1,3,E,0,0
1,1,4,U,10,0.10638297872340426
1,1,4,S,60,0.6382978723404256
1,1,4,A,12,0.1276595744680851
1,1,4,B,12,0.1276595744680851
1,1,4,A/B,0,0
1,1,4,AB,0,0
1,1,4,E,0,0
1,2,1,U,8,0.0851063829787234
1,2,1,S,53,0.5638297872340425
1,2,1,A,15,0.1595744680851064
1,2,1,B,16,0.1702127659574468
1,2,1,A/B,2,0.02127659574468085
1,2,1,AB,0,0
1,2,1,E,0,0
1,2,2,U,8,0.0851063829787234
1,2,2,S,53,0.5638297872340425
1,2,2,A,16,0.1702127659574468
1,2,2,B,15,0.1595744680851064
1,2,2,A/B,2,0.02127659574468085
1,2,2,AB,0,0
1,2,2,E,0,0
1,2,3,U,8,0.0851063829787234
1,2,3,S,53,0.5638297872340425
1,2,3,A,10,0.10638297872340426
1,2,3,B,15,0.1595744680851064
1,2,3,A/B,3,0.031914893617021274
1,2,3,AB,5,0.05319148936170213
1,2,3,E,0,0
1,2,4,U,8,0.0851063829787234
1,2,4,S,54,0.574468085106383
1,2,4,A,15,0.1595744680851064
1,2,4,B,15,0.1595744680851064
1,2,4,A/B,2,0.02127659574468085
1,2,4,AB,0,0
1,2,4,E,0,0
1,3,1,U,7,0.07446808510638298
