plate,transfer,p,mean,n,se,max,min
1,0,U,0.2127659574468085,4,0,0.2127659574468085,0.2127659574468085
1,0,S,0.45478723404255317,4,0.053961623381323404,0.5531914893617021,0.35106382978723405
1,0,A,0.19946808510638298,4,0.046447471267481326,0.32978723404255317,0.1276595744680851
1,0,B,0.0797872340425532,4,0.009213036210472751,0.09574468085106383,0.05319148936170213
1,0,A/B,0.018617021276595744,4,0.007978723404255319,0.0425531914893617,0.010638297872340425
1,0,AB,0.034574468085106384,4,0.027596422723888975,0.11702127659574468,0
1,0,E,0,4,0,0,0
1,1,U,0.10638297872340426,4,0,0.10638297872340426,0.10638297872340426
1,1,S,0.625,4,0.005092697381682654,0.6382978723404256,0.6170212765957447
1,1,A,0.12234042553191489,4,0.0030710120701575804,0.1276595744680851,0.11702127659574468
1,1,B,0.11436170212765957,4,0.024326990663142273,0.14893617021276595,0.0425531914893617
1,1,A/B,0.007978723404255319,4,0.005092697381682649,0.02127659574468085,0
1,1,AB,0.023936170212765957,4,0.023936170212765957,0.09574468085106383,0
1,1,E,0,4,0,0,0
1,2,U,0.0851063829787234,4,0,0.0851063829787234,0.0851063829787234
1,2,S,0.5664893617021276,4,0.002659574468085124,0.574468085106383,0.5638297872340425
1,2,A,0.14893617021276595,4,0.014404323412475108,0.1702127659574468,0.10638297872340426
1,2,B,0.1622340425531915,4,0.0026595744680851033,0.1702127659574468,0.1595744680851064
1,2,A/B,0.023936170212765957,4,0.002659574468085106,0.031914893617021274,0.02127659574468085
1,2,AB,0.013297872340425532,4,0.013297872340425532,0.05319148936170213,0
1,2,E,0,4,0,0,0
1,3,U,0.07446808510638298,4,0,0.07446808510638298,0.07446808510638298
1,3,S,0.4787234042553192,4,0,0.4787234042553192,0.4787234042553192
1,3,A,0.1702127659574468,4,0,0.1702127659574468,0.1702127659574468
1,3,B,0.24468085106382978,4,0,0.24468085106382978,0.24468085106382978
1,3,A/B,0.031914893617021274,4,0,0.031914893617021274,0.031914893617021274
1,3,AB,0,4,0,0,0
1,3,E,0,4,0,0,0
1,4,U,0.06648936170212766,4,0.0026595744680851068,0.07446808510638298,0.06382978723404255
1,4,S,0.473404255319149,4,0.003071012070157588,0.4787234042553192,0.46808510638297873
1,4,A,0.17553191489361702,4,0.003071012070157588,0.18085106382978725,0.1702127659574468
1,4,B,0.20212765957446807,4,0,0.20212765957446807,0.20212765957446807
1,4,A/B,0.07446808510638298,4,0.004343066919828331,0.0851063829787234,0.06382978723404255
1,4,AB,0.007978723404255319,4,0.007978723404255319,0.031914893617021274,0
