plate,transfer,p,mean,n,se,max,min
1,0,U,0.10904255319148937,4,0.03643390529793354,0.14893617021276595,0
1,0,S,0.7393617021276596,4,0.1112791722305901,0.9468085106382979,0.425531914893617
1,0,A,0.15159574468085107,4,0.09227100946759827,0.425531914893617,0.031914893617021274
1,0,B,0,4,0,0,0
1,0,A/B,0,4,0,0,0
1,0,AB,0,4,0,0,0
1,0,E,0,4,0,0,0
1,1,U,0.05319148936170212,4,0.014404323412475106,0.07446808510638298,0.010638297872340425
1,1,S,0.9281914893617021,4,0.017574669859573577,0.9787234042553191,0.9042553191489362
1,1,A,0.018617021276595744,4,0.005092697381682649,0.031914893617021274,0.010638297872340425
1,1,B,0,4,0,0,0
1,1,A/B,0,4,0,0,0
1,1,AB,0,4,0,0,0
1,1,E,0,4,0,0,0
1,2,U,0.02925531914893617,4,0.010068986428723888,0.0425531914893617,0
1,2,S,0.7872340425531914,4,0.05907209662750949,0.925531914893617,0.6382978723404256
1,2,A,0.18351063829787234,4,0.05361093486787537,0.32978723404255317,0.07446808510638298
1,2,B,0,4,0,0,0
1,2,A/B,0,4,0,0,0
1,2,AB,0,4,0,0,0
1,2,E,0,4,0,0,0
1,3,U,0.02659574468085106,4,0.0030710120701575834,0.031914893617021274,0.02127659574468085
1,3,S,0.8882978723404256,4,0.0422194358148605,0.9680851063829787,0.776595744680851
1,3,A,0.0851063829787234,4,0.040972411376919655,0.19148936170212766,0.010638297872340425
1,3,B,0,4,0,0,0
1,3,A/B,0,4,0,0,0
1,3,AB,0,4,0,0,0
1,3,E,0,4,0,0,0
1,4,U,0.031914893617021274,4,0.00434306691982833,0.0425531914893617,0.02127659574468085
1,4,S,0.9627659574468086,4,0.003071012070157572,0.9680851063829787,0.9574468085106383
1,4,A,0.005319148936170213,4,0.005319148936170213,0.02127659574468085,0
1,4,B,0,4,0,0,0
1,4,A/B,0,4,0,0,0
1,4,AB,0,4,0,0,0
1,4,E,0,4,0,0,0
1,5,U,0.013297872340425532,4,0.005092697381682649,0.02127659574468085,0
