n,strain,drug,mut,tot
1,mutS,Nal,56,1070000000
2,mutS,Nal,101,1116000000
3,mutS,Nal,1080,1100000000
4,mutS,Nal,131,1324000000
5,mutS,Nal,49,1110000000
6,mutS,Nal,49,2712000000
7,mutS,Nal,113,1980000000
8,mutS,Nal,389,1004000000
9,mutS,Nal,99,970000000
10,mutS,Nal,96,1290000000
1,mutS,Sm,1,1070000000
2,mutS,Sm,0,1116000000
3,mutS,Sm,1,1100000000
4,mutS,Sm,1,1324000000
5,mutS,Sm,0,1110000000
6,mutS,Sm,1,2712000000
7,mutS,Sm,0,1980000000
8,mutS,Sm,0,1004000000
9,mutS,Sm,1,970000000
10,mutS,Sm,0,1290000000
1,mutSSmR,Nal,67,1050000000
2,mutSSmR,Nal,107,1388000000
3,mutSSmR,Nal,79,1334000000
4,mutSSmR,Nal,114,1616000000
5,mutSSmR,Nal,110,1456000000
6,mutSSmR,Nal,179,8800000000
7,mutSSmR,Nal,296,1452000000
8,mutSSmR,Nal,112,1726000000
9,mutSSmR,Nal,46,1528000000
10,mutSSmR,Nal,247,1844000000
1,mutSNalR,Sm,0,2324000000
2,mutSNalR,Sm,0,1568000000
3,mutSNalR,Sm,2,1428000000
4,mutSNalR,Sm,17,1744000000
5,mutSNalR,Sm,2,1856000000
6,mutSNalR,Sm,1,1408000000
7,mutSNalR,Sm,0,1260000000
8,mutSNalR,Sm,3,1764000000
9,mutSNalR,Sm,7,1472000000
10,mutSNalR,Sm,0,1588000000
