plate,transfer,p,f
1,0,U,0.127659574468085
1,0,S,0.872340425531915
1,0,A,0
1,0,B,0
1,0,AB,0
1,1,U,0.109042553191489
1,1,S,0.890957446808511
1,1,A,0
1,1,B,0
1,1,AB,0
1,2,U,0.0919780958546676
1,2,S,0.908021904145317
1,2,A,0
1,2,B,0
1,2,AB,0
1,3,U,0.0808822743492844
1,3,S,0.919117725650777
1,3,A,0
1,3,B,0
1,3,AB,0
1,4,U,0.0738994557715399
1,4,S,0.926100544228596
1,4,A,0
1,4,B,0
1,4,AB,0
1,5,U,0.0695311319975912
1,5,S,0.930468868002546
1,5,A,0
1,5,B,0
1,5,AB,0
1,6,U,0.0667570799250063
1,6,S,0.933242920075102
1,6,A,0
1,6,B,0
1,6,AB,0
1,7,U,0.0649713293746156
1,7,S,0.935028670625466
1,7,A,0
1,7,B,0
1,7,AB,0
1,8,U,0.063825477111143
1,8,S,0.936174522888913
1,8,A,0
1,8,B,0
1,8,AB,0
1,9,U,0.0631036219886633
1,9,S,0.936896378011331
1,9,A,0
1,9,B,0
1,9,AB,0
1,10,U,0.0626506573105707
1,10,S,0.937349342689395
1,10,A,0
1,10,B,0
1,10,AB,0
1,11,U,0.0623662137773541
1,11,S,0.937633786222589
1,11,A,0
1,11,B,0
1,11,AB,0
1,12,U,0.0621868170066068
1,12,S,0.937813182993321
1,12,A,0
1,12,B,0
1,12,AB,0
1,13,U,0.062072537343715
1,13,S,0.937927462656204
1,13,A,0
1,13,B,0
1,13,AB,0
1,14,U,0.0619990540277795
1,14,S,0.938000945972139
1,14,A,0
1,14,B,0
1,14,AB,0
1,15,U,0.0619561134310941
1,15,S,0.93804388656883
1,15,A,0
1,15,B,0
1,15,AB,0
1,16,U,0.0619301824017599
1,16,S,0.938069817598174
1,16,A,0
1,16,B,0
1,16,AB,0
1,17,U,0.0619123777618494
1,17,S,0.938087622238093
1,17,A,0
1,17,B,0
1,17,AB,0
1,18,U,0.061902299617279
1,18,S,0.938097700382661
1,18,A,0
1,18,B,0
1,18,AB,0
1,19,U,0.0618926949541139
1,19,S,0.938107305045817
1,19,A,0
1,19,B,0
1,19,AB,0
1,20,U,0.0618871940473509
1,20,S,0.938112805952572
1,20,A,0
1,20,B,0
1,20,AB,0
1,21,U,0.0618814847860144
1,21,S,0.9381185152139
1,21,A,0
1,21,B,0
1,21,AB,0
1,22,U,0.0618780806363165
1,22,S,0.938121919363595
1,22,A,0
1,22,B,0
1,22,AB,0
1,23,U,0.0618752640440418
1,23,S,0.938124735955874
1,23,A,0
1,23,B,0
1,23,AB,0
1,24,U,0.0618735612360396
1,24,S,0.938126438763883
1,24,A,0
1,24,B,0
1,24,AB,0
1,25,U,0.0618725008581777
1,25,S,0.938127499141755
1,25,A,0
1,25,B,0
1,25,AB,0
1,26,U,0.0618715567905379
1,26,S,0.938128443209403
1,26,A,0
1,26,B,0
1,26,AB,0
1,27,U,0.0618710800660115
1,27,S,0.938128919933938
1,27,A,0
1,27,B,0
1,27,AB,0
1,28,U,0.0618710706845984
1,28,S,0.93812892931536
1,28,A,0
1,28,B,0
1,28,AB,0
1,29,U,0.0618709814421685
1,29,S,0.938129018557798
1,29,A,0
1,29,B,0
1,29,AB,0
1,30,U,0.061870916236386
1,30,S,0.938129083763587
1,30,A,0
1,30,B,0
1,30,AB,0
1,31,U,0.0618709819886103
1,31,S,0.938129018011369
1,31,A,0
1,31,B,0
1,31,AB,0
1,32,U,0.0618710921532538
1,32,S,0.938128907846731
1,32,A,0
1,32,B,0
1,32,AB,0
1,33,U,0.0618711573358556
